ID,NumCode,CharCode,Nominal,Name,Value,Previous
R01010,036,AUD,1,Австралийский доллар,54.3007,54.7
R01020A,944,AZN,1,Азербайджанский манат,45.0706,45.4085
R01030,012,DZD,100,Алжирских динаров,59.1539,59.6221
R01035,826,GBP,1,Фунт стерлингов,104.2953,105.4012
R01060,051,AMD,100,Армянских драмов,20.2876,20.4792
R01080,048,BHD,1,Бахрейнский динар,203.7328,205.2599
R01090B,933,BYN,1,Белорусский рубль,26.8428,26.9741
R01105,068,BOB,1,Боливиано,11.0883,11.1714
R01115,986,BRL,1,Бразильский реал,14.6543,14.9396
R01135,348,HUF,100,Форинтов,24.0732,24.1951
R01150,704,VND,10000,Донгов,30.8174,30.8174
R01200,344,HKD,10,Гонконгских долларов,98.2183,98.9291
R01210,981,GEL,1,Лари,28.5821,28.7835
R01215,208,DKK,1,Датская крона,12.1654,12.2685
R01230,784,AED,1,Дирхам ОАЭ,20.8632,21.0196
R01235,840,USD,1,Доллар США,76.6201,77.1944
R01239,978,EUR,1,Евро,91.0368,91.5575
R01240,818,EGP,10,Египетских фунтов,16.3788,16.4861
R01270,356,INR,100,Индийских рупий,84.4648,85.0707
R01280,360,IDR,10000,Рупий,45.5367,45.878
R01300,364,IRR,1000000,Иранских риалов,59.721,60.0943
R01335,398,KZT,100,Тенге,15.4476,15.6175
R01350,124,CAD,1,Канадский доллар,56.2804,56.7397
R01355,634,QAR,1,Катарский риал,21.0495,21.2073
R01370,417,KGS,100,Сомов,87.6159,88.2726
R01375,156,CNY,1,Юань,11.0859,11.1523
R01395,192,CUP,10,Кубинских песо,31.925,32.1643
R01500,498,MDL,10,Молдавских леев,45.1208,45.5986
R01503,496,MNT,1000,Тугриков,21.4877,21.6502
R01520,566,NGN,1000,Найр,56.5288,57.0266
R01530,554,NZD,1,Новозеландский доллар,46.2287,46.5675
R01535,578,NOK,10,Норвежских крон,80.2464,81.451
R01540,512,OMR,1,Оманский риал,199.272,200.7657
R01565,985,PLN,1,Злотый,21.6032,21.7278
R01580,682,SAR,1,Саудовский риял,20.432,20.5852
R01585F,946,RON,1,Румынский лей,17.8435,17.9672
R01589,960,XDR,1,СДР (специальные права заимствования),105.6047,106.519
R01625,702,SGD,1,Сингапурский доллар,60.7325,61.1199
R01670,972,TJS,10,Сомони,81.1121,81.7201
R01675,764,THB,10,Батов,24.6907,24.8237
R01685,050,BDT,100,Так,62.6459,63.1058
R01700J,949,TRY,10,Турецких лир,17.5805,17.7013
R01710A,934,TMT,1,Новый туркменский манат,21.8915,22.0555
R01717,860,UZS,10000,Узбекских сумов,62.8482,63.1655
R01720,980,UAH,10,Гривен,17.7765,17.9551
R01760,203,CZK,10,Чешских крон,37.4615,37.8052
R01770,752,SEK,10,Шведских крон,85.5373,86.7423
R01775,756,CHF,1,Швейцарский франк,99.5842,100.3046
R01800,230,ETB,100,Эфиопских быров,49.2504,49.7845
R01805F,941,RSD,100,Сербских динаров,77.4481,78.0286
R01810,710,ZAR,10,Рэндов,48.2148,48.1403
R01815,410,KRW,1000,Вон,53.0831,53.4809
R01820,392,JPY,100,Иен,50.0523,50.4968
R02005,104,MMK,1000,Кьятов,36.4858,36.7592
